"date","value"
2020-03-01,105
2020-03-02,97
2020-03-03,96
2020-03-04,96
2020-03-05,94
2020-03-06,97
2020-03-07,96
2020-03-08,96
2020-03-09,94
2020-03-10,93
2020-03-11,90
2020-03-12,87
2020-03-13,82
2020-03-14,78
2020-03-15,76
2020-03-16,75
2020-03-17,63
2020-03-18,57
2020-03-19,53
2020-03-20,49
2020-03-21,42
2020-03-22,39
2020-03-23,37
2020-03-24,28
2020-03-25,24
2020-03-26,23
2020-03-27,23
2020-03-28,22
2020-03-29,20
2020-03-30,21
2020-03-31,21
2020-04-01,20
2020-04-02,20
2020-04-03,21
2020-04-04,23
2020-04-05,24
2020-04-06,21
2020-04-07,22
2020-04-08,21
2020-04-09,22
2020-04-10,18
2020-04-11,23
2020-04-12,22
2020-04-13,15
2020-04-14,22
2020-04-15,22
2020-04-16,21
2020-04-17,21
2020-04-18,23
2020-04-19,25
2020-04-20,23
2020-04-21,23
2020-04-22,23
2020-04-23,23
2020-04-24,25
2020-04-25,26
2020-04-26,28
2020-04-27,24
2020-04-28,20
2020-04-29,23
2020-04-30,22
2020-05-01,25
2020-05-02,29
2020-05-03,26
2020-05-04,26
2020-05-05,25
2020-05-06,26
2020-05-07,27
2020-05-08,24
2020-05-09,30
2020-05-10,25
2020-05-11,26
2020-05-12,27
2020-05-13,26
2020-05-14,26
2020-05-15,29
2020-05-16,32
2020-05-17,33
2020-05-18,30
2020-05-19,31
2020-05-20,31
2020-05-21,30
2020-03-16,60
2020-03-17,44
2020-03-18,35
2020-03-19,30
2020-03-20,24
2020-03-21,13
2020-03-22,11
2020-03-23,15
2020-03-24,9
2020-03-25,7
2020-03-26,6
2020-03-27,6
2020-03-28,4
2020-03-29,4
2020-03-30,5
2020-03-31,5
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,4
2020-04-05,4
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,4
2020-04-19,4
2020-04-20,5
2020-04-21,5
2020-04-22,5
2020-04-23,5
2020-04-24,5
2020-04-25,4
2020-04-26,4
2020-04-27,5
2020-04-28,5
2020-04-29,5
2020-04-30,5
2020-05-01,5
2020-05-02,4
2020-05-03,4
2020-05-04,6
2020-05-05,6
2020-05-06,5
2020-05-07,5
2020-05-08,7
2020-05-09,5
2020-05-10,4
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,5
2020-05-17,5
2020-05-18,7
2020-05-19,7
2020-05-20,7
2020-05-21,7
2020-05-22,8
2020-05-23,6
2020-05-24,6
2020-05-25,9
2020-03-16,79
2020-03-17,70
2020-03-18,65
2020-03-19,59
2020-03-20,52
2020-03-21,39
2020-03-22,32
2020-03-23,31
2020-03-24,22
2020-03-25,19
2020-03-26,18
2020-03-27,18
2020-03-28,17
2020-03-29,16
2020-03-30,17
2020-03-31,17
2020-04-01,16
2020-04-02,16
2020-04-03,16
2020-04-04,17
2020-04-05,17
2020-04-06,18
2020-04-07,18
2020-04-08,17
2020-04-09,18
2020-04-10,17
2020-04-11,16
2020-04-12,14
2020-04-13,18
2020-04-14,19
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,16
